Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Противоизносная_присадка_28,0784.24,"Массовая доля серы, ASTM D6481",% масс,16.46
Противоизносная_присадка_28,0784.24,"Массовая доля фосфора, ASTM D6481",% масс,8.82
Противоизносная_присадка_28,0784.24,"Массовая доля цинка, ASTM D6481",% масс,9.17
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,411
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,626
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1004
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1695
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3071
Базовое_масло_3,0886.24,"Индекс вязкости, ГОСТ 25371",–,126
Базовое_масло_3,0886.24,"Испаряемость по NOACK, ASTM D5800",%,15
Базовое_масло_3,0886.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.19
Базовое_масло_3,0886.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.48
Базовое_масло_3,0886.24,"Массовая доля кальция, ASTM D6481",% масс,0.0001
Базовое_масло_3,0886.24,"Массовая доля серы, ASTM D6481",% масс,0.0007
Базовое_масло_3,0886.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002
Базовое_масло_3,0886.24,"Массовая доля цинка, ASTM D6481",% масс,0.00007
Базовое_масло_3,0886.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,0886.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,0886.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,0886.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-21
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,535
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,842
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1398
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2472
Базовое_масло_1,0766.24,"Индекс вязкости, ГОСТ 25371",–,113
Базовое_масло_1,0766.24,"Испаряемость по NOACK, ASTM D5800",%,13.3
Базовое_масло_1,0766.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.94
Базовое_масло_1,0766.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.56
Базовое_масло_1,0766.24,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_1,0766.24,"Массовая доля серы, ASTM D6481",% масс,0.00007
Базовое_масло_1,0766.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002
Базовое_масло_1,0766.24,"Массовая доля цинка, ASTM D6481",% масс,0.00004
Базовое_масло_1,0766.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,0766.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,0766.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_1,0766.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-26
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,2344
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,4083
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,7514
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,14665
Базовое_масло_5,0767.24,"Индекс вязкости, ГОСТ 25371",–,116
Базовое_масло_5,0767.24,"Испаряемость по NOACK, ASTM D5800",%,3.1
Базовое_масло_5,0767.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,57.8
Базовое_масло_5,0767.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.35
Базовое_масло_5,0767.24,"Массовая доля кальция, ASTM D6481",% масс,0.00021
Базовое_масло_5,0767.24,"Массовая доля серы, ASTM D6481",% масс,0.00038
Базовое_масло_5,0767.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002
Базовое_масло_5,0767.24,"Массовая доля цинка, ASTM D6481",% масс,0.00002
Базовое_масло_5,0767.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_5,0767.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_5,0767.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_5,0767.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-22
Загуститель_1,"0435.24 9,8% во 2 гр","Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,469.9
Базовое_масло_2,0407.24,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_2,0407.24,Деэм.время | ASTM D1401,мин,5
Базовое_масло_2,0407.24,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_2,0407.24,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1206
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2249
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4651
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10139
Базовое_масло_2,0407.24,"Индекс вязкости, ГОСТ 25371",–,98
Базовое_масло_2,0407.24,"Испаряемость по NOACK, ASTM D5800",%,13.7
Базовое_масло_2,0407.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.45
Базовое_масло_2,0407.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.38
Базовое_масло_2,0407.24,"Массовая доля кальция, ASTM D6481",% масс,0.0003
Базовое_масло_2,0407.24,"Массовая доля серы, ASTM D6481",% масс,0.0267
Базовое_масло_2,0407.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,0407.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,0407.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,0407.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Депрессорная_присадка_1,DPM-301,,,
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,781
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1258
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2198
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4047
Базовое_масло_1,0760.25,"Индекс вязкости, ГОСТ 25371",–,113
Базовое_масло_1,0760.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.84
Базовое_масло_1,0760.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.43
Базовое_масло_1,0760.25,"Плотность при 15°С, ASTM D4052",кг/м³,843.5
Базовое_масло_1,0760.25,"Плотность при 20°С, ASTM D4052",кг/м³,840.3
Базовое_масло_1,0760.25,"Температура застывания, ГОСТ 20287, метод Б",°C,-23
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,491
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1321
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2359
Базовое_масло_1,02375.24,"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_1,02375.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.72
Базовое_масло_1,02375.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.52
Базовое_масло_1,02375.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-26
Базовое_масло_5,0962.25,"Индекс вязкости, ГОСТ 25371",–,120
Базовое_масло_5,0962.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,53.5
Базовое_масло_5,0962.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.06
Базовое_масло_5,0962.25,"Температура застывания, ГОСТ 20287, метод Б",°C,-11
Детергент_1,0432.25,"Массовая доля кальция, ASTM D6481",% масс,15.76
Детергент_1,0432.25,"Щелочное число, ASTM D2896",мг KOH/г,410.9
Противоизносная_присадка_6,01036.25,,,
Противоизносная_присадка_4,П. 76-290624-681,,,
Депрессорная_присадка_1,0862.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,1828
